日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260131.0,1301.0,極洋,プライム（内国株式）,50.0,水産・農林業,1.0,食品,6.0,TOPIX Small 1
20260131.0,130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,グロース（内国株式）,3250.0,医薬品,5.0,医薬品,-,-
20260131.0,131A,ＣＣＮグループ,PRO Market,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,132A,アイエヌホールディングス,PRO Market,5050.0,陸運業,12.0,運輸・物流,-,-
20260131.0,1332.0,ニッスイ,プライム（内国株式）,50.0,水産・農林業,1.0,食品,4.0,TOPIX Mid400
20260131.0,1333.0,マルハニチロ,プライム（内国株式）,50.0,水産・農林業,1.0,食品,4.0,TOPIX Mid400
20260131.0,134A,アプライズ,PRO Market,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,135A,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,136A,三興商事,PRO Market,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1375.0,ユキグニファクトリー,プライム（内国株式）,50.0,水産・農林業,1.0,食品,7.0,TOPIX Small 2
20260131.0,1376.0,カネコ種苗,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,7.0,TOPIX Small 2
20260131.0,1377.0,サカタのタネ,プライム（内国株式）,50.0,水産・農林業,1.0,食品,6.0,TOPIX Small 1
20260131.0,1379.0,ホクト,プライム（内国株式）,50.0,水産・農林業,1.0,食品,7.0,TOPIX Small 2
20260131.0,137A,Ｃｏｃｏｌｉｖｅ,グロース（内国株式）,5250.0,情報・通信業,10.0,情報通信・サービスその他,-,-
20260131.0,1380.0,秋川牧園,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,-,-
20260131.0,1381.0,アクシーズ,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,-,-
20260131.0,1382.0,ホーブ,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,-,-
20260131.0,1383.0,ベルグアース,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,-,-
20260131.0,1384.0,ホクリヨウ,スタンダード（内国株式）,50.0,水産・農林業,1.0,食品,-,-
20260131.0,138A,光フードサービス,グロース（内国株式）,6100.0,小売業,14.0,小売,-,-
20260131.0,139A,東日本地所,PRO Market,8050.0,不動産業,17.0,不動産,-,-
20260131.0,1401.0,エムビーエス,グロース（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1407.0,ウエストホールディングス,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1414.0,ショーボンドホールディングス,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1417.0,ミライト・ワン,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,4.0,TOPIX Mid400
20260131.0,1418.0,インターライフホールディングス,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1419.0,タマホーム,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,6.0,TOPIX Small 1
20260131.0,141A,トライアルホールディングス,グロース（内国株式）,6100.0,小売業,14.0,小売,-,-
20260131.0,1420.0,サンヨーホームズ,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1429.0,日本アクア,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,142A,ジンジブ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,1430.0,ファーストコーポレーション,スタンダード（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1431.0,Ｌｉｂ　Ｗｏｒｋ,グロース（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1432.0,動力,PRO Market,2050.0,建設業,3.0,建設・資材,-,-
20260131.0,1433.0,ベステラ,プライム（内国株式）,2050.0,建設業,3.0,建設・資材,-,-
